,var,level,Symptom,logit,logit_u,logit_l
(Intercept)4,income,<=3wrmb,a_Asymptomatic,1.06550313,1.237797177,0.893209083
income2,income,3-15wrmb,a_Asymptomatic,1.494990322,1.579986765,1.409993879
income3,income,15-50wrmb,a_Asymptomatic,1.541551848,1.60493269,1.478171006
income4,income,>50wrmb,a_Asymptomatic,1.172917014,1.376813454,0.969020575
(Intercept)12,income,<=3wrmb,b_No fever,0.866305824,1.031076056,0.701535593
income21,income,3-15wrmb,b_No fever,1.352865064,1.434245659,1.27148447
income31,income,15-50wrmb,b_No fever,1.371176915,1.431288254,1.311065576
income41,income,>50wrmb,b_No fever,1.047187077,1.244722624,0.84965153
(Intercept)20,income,<=3wrmb,c_Low fever,0.390758961,0.544075202,0.237442719
income22,income,3-15wrmb,c_Low fever,0.769696614,0.840381185,0.699012043
income32,income,15-50wrmb,c_Low fever,0.859258425,0.912092451,0.806424399
income42,income,>50wrmb,c_Low fever,0.629357443,0.811247002,0.447467883
(Intercept)28,income,<=3wrmb,d_High fever,-0.37243455,-0.219391235,-0.525477865
income23,income,3-15wrmb,d_High fever,-0.186242725,-0.120202891,-0.25228256
income33,income,15-50wrmb,d_High fever,-0.132921252,-0.084507786,-0.181334718
income43,income,>50wrmb,d_High fever,-0.299084697,-0.123907045,-0.474262348
