,var,level,Symptom,logit,logit_u,logit_l
(Intercept)6,edu2,Juniorschool & lower,a_Asymptomatic,1.096984949,1.255086646,0.938883252
edu22,edu2,High school,a_Asymptomatic,1.345778692,1.465111479,1.226445905
edu23,edu2,Junior college,a_Asymptomatic,1.520884515,1.646852772,1.394916258
edu24,edu2,Bachelor,a_Asymptomatic,1.580605162,1.650434995,1.51077533
edu25,edu2,Master & higher,a_Asymptomatic,1.532811416,1.666081317,1.399541515
(Intercept)14,edu2,Juniorschool & lower,b_No fever,0.934309237,1.08650518,0.782113295
edu221,edu2,High school,b_No fever,1.172903865,1.2866216,1.05918613
edu231,edu2,Junior college,b_No fever,1.352443818,1.472046999,1.232840637
edu241,edu2,Bachelor,b_No fever,1.439941824,1.506707308,1.37317634
edu251,edu2,Master & higher,b_No fever,1.329041066,1.454232361,1.203849772
(Intercept)22,edu2,Juniorschool & lower,c_Low fever,0.357861184,0.497035646,0.218686722
edu222,edu2,High school,c_Low fever,0.648816086,0.750565956,0.547066217
edu232,edu2,Junior college,c_Low fever,0.771709503,0.875644295,0.667774711
edu242,edu2,Bachelor,c_Low fever,0.894380622,0.952270627,0.836490617
edu252,edu2,Master & higher,c_Low fever,0.936704448,1.049943041,0.823465856
(Intercept)30,edu2,Juniorschool & lower,d_High fever,-0.439158954,-0.298867625,-0.579450283
edu223,edu2,High school,d_High fever,-0.207300554,-0.110160155,-0.304440953
edu233,edu2,Junior college,d_High fever,-0.243136001,-0.145770655,-0.340501348
edu243,edu2,Bachelor,d_High fever,-0.145087762,-0.09240176,-0.197773764
edu253,edu2,Master & higher,d_High fever,0.044571861,0.146458299,-0.057314577
