,var,level,Symptom,logit,logit_u,logit_l
(Intercept)2,unit,1-2,a_Asymptomatic,1.378359911,1.449550656,1.307169165
unit2,unit,3-4,a_Asymptomatic,1.626174705,1.706584763,1.545764646
unit3,unit,5-6,a_Asymptomatic,1.403610811,1.54817023,1.259051392
unit4,unit,7-8,a_Asymptomatic,1.762891485,2.09420884,1.43157413
unit5,unit,9-10,a_Asymptomatic,1.332619404,1.498236793,1.167002016
(Intercept)10,unit,1-2,b_No fever,1.210048493,1.277907805,1.14218918
unit21,unit,3-4,b_No fever,1.463494543,1.539775291,1.387213795
unit31,unit,5-6,b_No fever,1.247786458,1.385958048,1.109614869
unit41,unit,7-8,b_No fever,1.652923024,1.971852676,1.333993372
unit51,unit,9-10,b_No fever,1.195305913,1.354684533,1.035927294
(Intercept)18,unit,1-2,c_Low fever,0.676649344,0.737035922,0.616262767
unit22,unit,3-4,c_Low fever,0.925369912,0.991463473,0.859276351
unit32,unit,5-6,c_Low fever,0.763764748,0.887301527,0.640227968
unit42,unit,7-8,c_Low fever,1.023811076,1.289446052,0.758176099
unit52,unit,9-10,c_Low fever,0.728738126,0.872386706,0.585089545
(Intercept)26,unit,1-2,d_High fever,-0.254600801,-0.197050305,-0.312151296
unit23,unit,3-4,d_High fever,-0.120348469,-0.060641048,-0.18005589
unit33,unit,5-6,d_High fever,-0.115546126,-0.000308559,-0.230783692
unit43,unit,7-8,d_High fever,-0.071458964,0.16295537,-0.305873298
unit53,unit,9-10,d_High fever,-0.08023169,0.054489974,-0.214953354
