,var,level,Symptom,logit,logit_u,logit_l
(Intercept)5,edu,Juniorschool & lower,a_Asymptomatic,0.796943974,1.037884432,0.556003516
edu2,edu,High school,a_Asymptomatic,0.996514419,1.120892541,0.872136296
edu3,edu,Junior college,a_Asymptomatic,1.52253946,1.64309295,1.401985969
edu4,edu,Bachelor,a_Asymptomatic,1.597801674,1.661426565,1.534176783
edu5,edu,Master & higher,a_Asymptomatic,1.543873224,1.693584206,1.394162242
(Intercept)13,edu,Juniorschool & lower,b_No fever,0.592824459,0.825693845,0.359955073
edu21,edu,High school,b_No fever,0.80721008,0.926713518,0.687706642
edu31,edu,Junior college,b_No fever,1.310170666,1.423172998,1.197168333
edu41,edu,Bachelor,b_No fever,1.455001403,1.515772165,1.394230642
edu51,edu,Master & higher,b_No fever,1.404370345,1.547672808,1.261067882
(Intercept)21,edu,Juniorschool & lower,c_Low fever,0.097163748,0.320427972,-0.126100475
edu26,edu,High school,c_Low fever,0.318282513,0.430073019,0.206492006
edu32,edu,Junior college,c_Low fever,0.605133154,0.701843772,0.508422536
edu42,edu,Bachelor,c_Low fever,0.930166899,0.983016152,0.877317647
edu52,edu,Master & higher,c_Low fever,1.056195216,1.186486307,0.925904124
(Intercept)29,edu,Juniorschool & lower,d_High fever,-0.693147181,-0.456618936,-0.929675425
edu27,edu,High school,d_High fever,-0.476709871,-0.363169517,-0.590250224
edu33,edu,Junior college,d_High fever,-0.332278559,-0.238553094,-0.426004024
edu43,edu,Bachelor,d_High fever,-0.105111419,-0.057438611,-0.152784226
edu53,edu,Master & higher,d_High fever,0.138971116,0.253265509,0.024676723
